Año y Clase,Desaceleracion,0-40,40-80,80,Autopista
2007-8a,0.001,0.017,0.027,0.014,0.011
2007-8b,0.001,0.019,0.031,0.016,0.012
2008-2b,0.003,0.008,0.01,0.011,0.006
2008-3,0.002,0.01,0.011,0.01,0.006
2008-4,0.001,0.01,0.011,0.01,0.006
2008-5,0.001,0.01,0.011,0.01,0.006
2008-6,0.001,0.011,0.011,0.01,0.006
2008-7,0.001,0.011,0.012,0.011,0.007
2008-8a,0.001,0.015,0.022,0.013,0.01
2008-8b,0.001,0.018,0.03,0.015,0.012
2009-2b,0.002,0.007,0.01,0.009,0.006
2009-3,0.001,0.011,0.012,0.01,0.007
2009-4,0.001,0.011,0.013,0.01,0.007
2009-5,0.001,0.011,0.013,0.01,0.007
2009-6,0.001,0.011,0.013,0.01,0.007
2009-7,0.001,0.012,0.016,0.011,0.008
2009-8a,0.001,0.017,0.027,0.014,0.012
2009-8b,0.001,0.019,0.032,0.016,0.012
2010-2b,0.002,0.006,0.008,0.008,0.005
2010-3,0.001,0.009,0.011,0.009,0.006
2010-4,0.001,0.01,0.012,0.009,0.006
2010-5,0.001,0.01,0.012,0.009,0.006
2010-6,0.001,0.01,0.012,0.009,0.006
2010-7,0.001,0.011,0.014,0.01,0.007
2010-8a,0.001,0.016,0.025,0.014,0.011
2010-8b,0.001,0.017,0.029,0.015,0.012
2011-2b,0.002,0.007,0.009,0.009,0.006
2011-3,0.001,0.009,0.011,0.009,0.006
2011-4,0.001,0.01,0.011,0.009,0.006
2011-5,0.001,0.01,0.011,0.009,0.006
2011-6,0.001,0.01,0.011,0.009,0.006
2011-7,0.001,0.011,0.013,0.01,0.007
2011-8a,0.001,0.015,0.024,0.013,0.011
2011-8b,0.001,0.017,0.029,0.014,0.012
2012-2b,0.002,0.007,0.009,0.009,0.006
2012-3,0.001,0.009,0.011,0.009,0.006
2012-4,0.001,0.009,0.011,0.009,0.006
2012-5,0.001,0.009,0.011,0.009,0.006
2012-6,0.001,0.009,0.011,0.009,0.006
2012-7,0.001,0.01,0.012,0.009,0.006
2012-8a,0.001,0.014,0.022,0.012,0.01
